Model,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.8360655737704918,0.8913043478260869,0.8831168831168831,0.9180327868852459,0.9130434782608695
M2,0.8852459016393442,0.9021739130434783,0.8701298701298701,1.0,0.9565217391304348
M3,0.9672131147540983,1.0,1.0,1.0,0.967391304347826
M4,0.5573770491803278,0.6847826086956522,0.5714285714285714,0.7213114754098361,0.6521739130434783
M5,0.7377049180327869,0.7717391304347826,0.7142857142857143,0.7704918032786885,0.8043478260869565
